,persona.region,persona.sex,persona.age,persona.country,persona.marital_status,persona.education,persona.social_class,question.id,question.variant,response.id,response.answer
0,Mississippi,female,30,United States,married,middle,lower middle class,Q235,0,4,2
1,California,male,32,United States,married,middle,lower middle class,Q235,0,4,2
2,Tennessee,female,35,United States,married,middle,lower middle class,Q235,0,4,2
3,Michigan,male,24,United States,single,higher,lower middle class,Q235,0,4,3
4,Arizona,male,59,United States,married,middle,lower middle class,Q235,0,4,3
5,Michigan,female,40,United States,married,higher,upper middle class,Q235,0,4,2
6,Minnesota,female,37,United States,married,middle,lower middle class,Q235,0,4,3
7,Illinois,female,57,United States,divorced,middle,lower middle class,Q235,0,4,3
8,Tennessee,female,42,United States,married,middle,working class,Q235,0,4,4
9,New Jersey,female,39,United States,married,middle,lower middle class,Q235,0,4,3
10,Connecticut,male,26,United States,single,higher,lower middle class,Q235,0,4,3
11,Texas,female,29,United States,married,middle,working class,Q235,0,4,2
12,Texas,male,23,United States,single,middle,lower class,Q235,0,4,3
13,Kentucky,female,37,United States,married,middle,working class,Q235,0,4,3
14,Kentucky,female,30,United States,married,higher,lower class,Q235,0,4,3
15,Maine,male,52,United States,married,middle,lower class,Q235,0,4,3
16,New York,female,28,United States,married,middle,working class,Q235,0,4,3
17,Texas,male,53,United States,married,higher,lower middle class,Q235,0,4,2
18,Arizona,male,34,United States,married,middle,lower middle class,Q235,0,4,2
19,Texas,male,22,United States,single,higher,working class,Q235,0,4,2
20,Massachusetts,male,39,United States,married,middle,lower class,Q235,0,4,3
21,Ohio,female,29,United States,married,middle,lower class,Q235,0,4,3
22,Arizona,female,40,United States,married,middle,upper middle class,Q235,0,4,1
23,Ohio,female,24,United States,married,middle,working class,Q235,0,4,3
24,New York,female,30,United States,single,middle,lower middle class,Q235,0,4,3
25,Tennessee,male,43,United States,married,middle,lower middle class,Q235,0,4,3
26,Nebraska,male,39,United States,married,middle,lower middle class,Q235,0,4,2
27,Kentucky,female,55,United States,married,middle,upper middle class,Q235,0,4,1
28,Missouri,female,39,United States,divorced,middle,lower middle class,Q235,0,4,2
29,Rhode Island,female,40,United States,married,middle,working class,Q235,0,4,3
30,New York,female,48,United States,divorced,lower,working class,Q235,0,4,3
31,Ohio,male,58,United States,married,middle,working class,Q235,0,4,3
32,Michigan,female,34,United States,divorced,higher,lower class,Q235,0,4,3
33,North Carolina,female,33,United States,married,middle,working class,Q235,0,4,3
34,Oklahoma,female,25,United States,married,middle,lower middle class,Q235,0,4,3
35,New Mexico,male,20,United States,single,middle,working class,Q235,0,4,2
36,Maryland,female,38,United States,single,higher,lower middle class,Q235,0,4,3
37,Texas,female,24,United States,single,higher,lower class,Q235,0,4,3
38,New York,male,57,United States,married,middle,lower middle class,Q235,0,4,2
39,Colorado,male,42,United States,divorced,middle,lower middle class,Q235,0,4,2
40,New York,male,30,United States,married,middle,working class,Q235,0,4,3
41,Pennsylvania,female,42,United States,married,higher,lower middle class,Q235,0,4,1
