,persona.region,persona.sex,persona.age,persona.country,persona.marital_status,persona.education,persona.social_class,question.id,question.variant,response.id,response.answer
0,Ohio,female,39,United States,married,higher,lower middle class,Q62,0,4,2
1,New Jersey,female,45,United States,married,higher,lower middle class,Q62,0,4,2
2,Tennessee,female,35,United States,married,middle,lower middle class,Q62,0,4,2
3,Nebraska,female,57,United States,married,lower,working class,Q62,0,4,2
4,Oklahoma,female,39,United States,divorced,middle,working class,Q62,0,4,2
5,Georgia,female,29,United States,married,higher,lower middle class,Q62,0,4,2
6,Wisconsin,female,31,United States,married,higher,lower middle class,Q62,0,4,2
7,Tennessee,female,25,United States,single,higher,working class,Q62,0,4,2
8,Vermont,female,33,United States,married,middle,lower middle class,Q62,0,4,2
9,Minnesota,female,37,United States,married,middle,lower middle class,Q62,0,4,2
10,Illinois,female,57,United States,divorced,middle,lower middle class,Q62,0,4,2
11,Minnesota,female,23,United States,single,middle,lower middle class,Q62,0,4,2
12,Maine,female,22,United States,single,higher,lower middle class,Q62,0,4,2
13,New Jersey,female,39,United States,married,middle,lower middle class,Q62,0,4,2
14,Michigan,female,54,United States,married,middle,working class,Q62,0,4,2
15,Connecticut,male,26,United States,single,higher,lower middle class,Q62,0,4,2
16,New Mexico,male,49,United States,married,middle,lower middle class,Q62,0,4,2
17,Hawaii,female,36,United States,married,higher,lower middle class,Q62,0,4,2
18,North Carolina,female,34,United States,married,middle,lower middle class,Q62,0,4,2
19,Pennsylvania,female,30,United States,divorced,lower,lower class,Q62,0,4,2
20,Wisconsin,female,41,United States,single,middle,lower class,Q62,0,4,2
21,Michigan,female,35,United States,married,middle,lower class,Q62,0,4,2
22,Ohio,female,56,United States,divorced,middle,working class,Q62,0,4,2
23,Louisiana,female,30,United States,married,middle,working class,Q62,0,4,2
24,New York,female,28,United States,married,middle,working class,Q62,0,4,2
25,California,female,49,United States,married,higher,lower middle class,Q62,0,4,2
26,Wisconsin,female,38,United States,married,middle,working class,Q62,0,4,2
27,Oklahoma,female,25,United States,married,middle,lower class,Q62,0,4,3
28,Oregon,female,42,United States,married,middle,lower middle class,Q62,0,4,2
29,Wisconsin,female,24,United States,single,higher,lower middle class,Q62,0,4,2
30,Colorado,female,71,United States,married,higher,upper middle class,Q62,0,4,2
31,Ohio,female,29,United States,married,middle,lower class,Q62,0,4,2
32,Connecticut,female,40,United States,single,middle,lower middle class,Q62,0,4,2
33,New York,female,30,United States,single,middle,lower middle class,Q62,0,4,2
34,Nevada,female,45,United States,married,middle,lower middle class,Q62,0,4,2
35,Ohio,female,27,United States,married,higher,upper middle class,Q62,0,4,2
36,Maine,female,55,United States,married,middle,lower middle class,Q62,0,4,2
37,California,female,23,United States,married,middle,lower middle class,Q62,0,4,2
38,Florida,female,48,United States,married,middle,lower middle class,Q62,0,4,2
39,Indiana,female,50,United States,married,middle,lower middle class,Q62,0,4,2
40,New York,female,48,United States,divorced,lower,working class,Q62,0,4,2
41,New Hampshire,female,48,United States,married,middle,upper middle class,Q62,0,4,2
42,Michigan,female,34,United States,divorced,higher,lower class,Q62,0,4,2
43,Wisconsin,female,26,United States,married,higher,lower middle class,Q62,0,4,2
44,Oklahoma,female,25,United States,married,middle,lower middle class,Q62,0,4,2
45,New York,female,26,United States,single,higher,working class,Q62,0,4,2
46,North Carolina,female,30,United States,single,higher,lower class,Q62,0,4,2
47,Ohio,female,56,United States,married,middle,working class,Q62,0,4,2
48,South Dakota,female,43,United States,married,higher,working class,Q62,0,4,2
49,Colorado,male,42,United States,divorced,middle,lower middle class,Q62,0,4,2
50,Pennsylvania,female,42,United States,married,higher,lower middle class,Q62,0,4,2
51,Missouri,female,27,United States,married,lower,lower middle class,Q62,0,4,2
